gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment
https://www.google.com/maps/place/McCormick+Place/data=!4m7!3m6!1s0x880e2b8114325857:0xde54f80e4327f5e2!8m2!3d41.8527221!4d-87.6158294!16zL20vMGM3bWg!19sChIJV1gyFIErDogR4vUnQw74VN4?authuser=0&hl=en&rclk=1,McCormick Place,4.5,"-13,051",Convention center,2301 S Martin Luther King Dr,⋅ Closes 10 PM,https://lh5.googleusercontent.com/p/AF1QipNWSIHYdr5mwMyWGpmpch6fOE9olEnRyvMM3JA_=w173-h92-k-no,"""Huge conference center."""
https://www.google.com/maps/place/Together+by+Hyatt/data=!4m7!3m6!1s0x880e2db65b930b4f:0x973e9f49c51afd3d!8m2!3d41.8877218!4d-87.6228383!16s%2Fg%2F11vbcxc2mz!19sChIJTwuTW7YtDogRPf0axUmfPpc?authuser=0&hl=en&rclk=1,Together by Hyatt,,,Convention center,151 E Wacker Dr,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oLYFRFAs9FOqj_Cbti2c6w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=283.08023&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Merchandise+Mart+Conference+Hall/data=!4m7!3m6!1s0x880e2cb6fb2adfc1:0x61c8006c8f31717b!8m2!3d41.8884096!4d-87.6354498!16s%2Fg%2F11r9cs3s9!19sChIJwd8q-7YsDogRe3Exj2wAyGE?authuser=0&hl=en&rclk=1,Merchandise Mart Conference Hall,4.7,-179,Conference center,222 W Merchandise Mart Plaza,,https://lh5.googleusercontent.com/p/AF1QipN1QUKDwSJtm1vKhiK_jmz5oqE3Ah9N3CGCIxNW=w80-h106-k-no,"""Nice exhebition center"""
https://www.google.com/maps/place/Lawndale+Christian+Health+Center+Skyline+Conference+Center/data=!4m7!3m6!1s0x880e325e66be2357:0xc5f0c7ed9ac348c6!8m2!3d41.853396!4d-87.719325!16s%2Fg%2F11dylxryt3!19sChIJVyO-Zl4yDogRxkjDmu3H8MU?authuser=0&hl=en&rclk=1,Lawndale Christian Health Center Skyline Conference Center,4.8,-12,Conference center,"3750 West, W Ogden Ave 4th Floor",⋅ Closes 9 PM,https://lh5.googleusercontent.com/p/AF1QipNqK5eRR7dP11C-Na_tuH6Z8JacjZyoPfqAqrc=w80-h106-k-no,
"https://www.google.com/maps/place/McCormick+Place+Lakeside+Center,+East+Building/data=!4m7!3m6!1s0x880e2b80c4121197:0x72ccc5d868eedc85!8m2!3d41.8523139!4d-87.6118774!16s%2Fg%2F11g8np5w3r!19sChIJlxESxIArDogRhdzuaNjFzHI?authuser=0&hl=en&rclk=1","McCormick Place Lakeside Center, East Building",4.4,-294,Convention center,2301 S DuSable Lake Shore Dr,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipOHH4LLsUSYD00F0VfRO26_P7J4hnwkcus5LRqo=w122-h92-k-no,"""Nice convention center"""
https://www.google.com/maps/place/AMA+Chicago+Executive+Conference+Center/data=!4m7!3m6!1s0x880e2d219516b061:0x2516dba397769473!8m2!3d41.8860956!4d-87.6236377!16s%2Fg%2F11g4cncfgn!19sChIJYbAWlSEtDogRc5R2l6PbFiU?authuser=0&hl=en&rclk=1,AMA Chicago Executive Conference Center,,,Conference center,205 Michigan Ave #5922,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NmuyuA1me9BWvoVES34lNA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=25.479134&pitch=0&thumbfov=100,
https://www.google.com/maps/place/American+Airlines+Conference+Center/data=!4m7!3m6!1s0x880fd3b33a2c63cd:0x449e6d48a31e0a1f!8m2!3d41.948757!4d-87.6576382!16s%2Fg%2F11h27rhc5f!19sChIJzWMsOrPTD4gRHwoeo0htnkQ?authuser=0&hl=en&rclk=1,American Airlines Conference Center,4.7,-24,Conference center,1101 W Waveland Ave f2,⋅ Closes 10 PM,https://lh5.googleusercontent.com/p/AF1QipNJgjvEWg_eAcCEHBRI-gjx2pP1aa5Ih8iitovw=w138-h92-k-no,
https://www.google.com/maps/place/Gleacher+Center/data=!4m7!3m6!1s0x880e26623550ffd7:0x2de5428703b98337!8m2!3d41.8897122!4d-87.6222842!16s%2Fg%2F12cpq1xlp!19sChIJ1_9QNWImDogRN4O5A4dC5S0?authuser=0&hl=en&rclk=1,Gleacher Center,4.7,-496,Conference center,450 Cityfront Plaza Dr,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipPYCIn05EINyGBG_uDjjowRYNRZceLqTjbmLFLi=w138-h92-k-no,"""Great conference center!"""
https://www.google.com/maps/place/United+centrr/data=!4m7!3m6!1s0x880e2d2c8102dae5:0x97474bf975632fde!8m2!3d41.8742849!4d-87.6253866!16s%2Fg%2F11vhcvms5n!19sChIJ5doCgSwtDogR3i9jdflLR5c?authuser=0&hl=en&rclk=1,United centrr,,,Convention center,65 E Harrison St,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VTzh9FiQGERHQtthF3KlGw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=187.66891&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Puerto+Convention+Center/data=!4m7!3m6!1s0x880e2cb816ebfe3d:0x18df602b36ded0d6!8m2!3d41.8846302!4d-87.6373864!16s%2Fg%2F1263yh074!19sChIJPf7rFrgsDogR1tDeNitg3xg?authuser=0&hl=en&rclk=1,Puerto Convention Center,5,-2,Convention center,150 N Wacker Dr # 1740,,https://lh5.googleusercontent.com/p/AF1QipOiwZeFx5sun-B5l6EYQkTP0uTuXNz6AiRi-bJF=w122-h92-k-no,
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d0c768a1593:0x797c30ce64c2b6de!8m2!3d41.8864436!4d-87.6342963!16s%2Fg%2F11h8kxv5c2!19sChIJkxWKdgwtDogR3rbCZM4wfHk?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Conference center,205 W Wacker Dr,⋅ Closes 12 AM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s4M2zhsgTPlPjFLyxMEg1g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=295.57108&pitch=0&thumbfov=100,
