gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment,,
https://www.google.com/maps/place/Loft+Lucia/data=!4m7!3m6!1s0x880e2cdbe0e5a797:0x7b2c00cc38548fe6!8m2!3d41.881989!4d-87.6530567!16s%2Fg%2F11g01_yt42!19sChIJl6fl4NssDogR5o9UOMwALHs?authuser=0&hl=en&rclk=1,Loft Lucia,4.7,-213,Event venue,7 N Carpenter St,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipOfdrLtFBI2_Hc7oRnEK3Z2pKbSw2pCODs9Tato=w138-h92-k-no,"""Loft Lucia was a fantastic space for our",corporate,"event!"""
https://www.google.com/maps/place/Mae+District/data=!4m7!3m6!1s0x880e2c7d0ba1ed5b:0x8c04a1b2998affc3!8m2!3d41.8538879!4d-87.6262462!16s%2Fg%2F11b7q667k6!19sChIJW-2hC30sDogRw_-KmbKhBIw?authuser=0&hl=en&rclk=1,Mae District,4.7,-70,Event venue,19 E 21st St,⋅ Closes 1 AM,https://lh5.googleusercontent.com/p/AF1QipPegWUWJ7zWLpbt2cVodXYQNRhxNvTO6CTj_v3f=w115-h92-k-no,"""The staff is",professional,"and attentive, ensuring that every moment is ..."""
https://www.google.com/maps/place/Chez+Event+Venue/data=!4m7!3m6!1s0x880e2df7f66e7323:0x10ab67a5767338ac!8m2!3d41.893212!4d-87.62081!16s%2Fg%2F11h3mv7npz!19sChIJI3Nu9vctDogRrDhzdqVnqxA?authuser=0&hl=en&rclk=1,Chez Event Venue,3.7,-11,Event venue,247 E Ontario St 2nd floor,,https://lh5.googleusercontent.com/p/AF1QipNpWp4kluK2i_TF7TznqA_31CDmHwKlVgIIMzc=w146-h92-k-no,,,
https://www.google.com/maps/place/Builders+BLDG/data=!4m7!3m6!1s0x880e2cb0b5b35beb:0x1a3707cfc0330f7f!8m2!3d41.8865677!4d-87.6332295!16s%2Fg%2F11hbk4ndsv!19sChIJ61uztbAsDogRfw8zwM8HNxo?authuser=0&hl=en&rclk=1,Builders BLDG,4.8,-25,Event venue,222 N La Salle St #1,⋅ Closes 11 PM,https://lh5.googleusercontent.com/p/AF1QipOBpFlRpodqje8RYUKkpfyT2V6ybGji1JPsB4hM=w80-h120-k-no,,,
https://www.google.com/maps/place/Chicago+Illuminating+Company/data=!4m7!3m6!1s0x405d76a491060b69:0xfadda5b4773610f9!8m2!3d41.8539369!4d-87.6259044!16s%2Fg%2F11b7hk7y6p!19sChIJaQsGkaR2XUAR-RA2d7Sl3fo?authuser=0&hl=en&rclk=1,Chicago Illuminating Company,4.2,-62,Event venue,2110 S Wabash Ave,⋅ Closes 10 PM,https://lh5.googleusercontent.com/p/AF1QipPRGpnV0avTg9vgwVD5orzWVP4UwH8PZ3iIBmTy=w138-h92-k-no,,,
https://www.google.com/maps/place/Lacuna+Lofts/data=!4m7!3m6!1s0x880e2c57067cce73:0xea991acaae04663f!8m2!3d41.8533599!4d-87.650391!16s%2Fg%2F1q5gmry50!19sChIJc858BlcsDogRP2YErsoameo?authuser=0&hl=en&rclk=1,Lacuna Lofts,4.5,-513,Event venue,2150 S Canalport Ave,⋅ Closes 5 PM,https://lh5.googleusercontent.com/p/AF1QipPW_m_RYdPH8GUfSWo_AyfyKO4u8UH3ImYkDjcX=w138-h92-k-no,"""These people are",professionals,"that what they do and are highly recommended."""
https://www.google.com/maps/place/Row+24+Chicago/data=!4m7!3m6!1s0x880e2c7963e2810b:0xd94aa5a5b0ad8fb7!8m2!3d41.848917!4d-87.623313!16s%2Fg%2F11dzw85x11!19sChIJC4HiY3ksDogRt4-tsKWlStk?authuser=0&hl=en&rclk=1,Row 24 Chicago,4.7,-159,Event venue,2411 S Michigan Ave,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipOm0oGEfXloE3UW8UfLFaDuDZzQEJYIK8adYzDu=w122-h92-k-no,"""Beautiful, elegant, classy,",professional,"environment."""
https://www.google.com/maps/place/The+Ivy+Room+At+Tree+Studios/data=!4m7!3m6!1s0x880e2cad9f2254b5:0x648fa51efbbfedb7!8m2!3d41.892637!4d-87.627535!16s%2Fg%2F1tfrbrzg!19sChIJtVQin60sDogRt-2_-x6lj2Q?authuser=0&hl=en&rclk=1,The Ivy Room At Tree Studios,4.7,-125,Event venue,12 E Ohio St # 100,⋅ Closes 6 PM,https://lh5.googleusercontent.com/p/AF1QipNNIA4r8MYvr-1kf2OzP-qHlGZ2FvsWQJ9paOqr=w122-h92-k-no,"""I'm sure it's as expensive as hell, but I was there in a",professional,"..."""
https://www.google.com/maps/place/The+Fulton+West+Event+Venue/data=!4m7!3m6!1s0x880e2d40ee145463:0x838e060f9bf3ade9!8m2!3d41.8872304!4d-87.6862745!16s%2Fg%2F11stf3cq0x!19sChIJY1QU7kAtDogR6a3zmw8GjoM?authuser=0&hl=en&rclk=1,The Fulton West Event Venue,5,-9,Event venue,319 N Western Ave,⋅ Closes 10 PM,https://lh5.googleusercontent.com/p/AF1QipOC0J5lqsJ39-B0kvvEcOJ1mwj2OQayvuPiWeEq=w80-h120-k-no,"""The event venue is perfect for baby showers, birthdays,",corporate,"..."""
https://www.google.com/maps/place/Walden/data=!4m7!3m6!1s0x880fd3dfd377448d:0x531b08dea227497d!8m2!3d41.8857214!4d-87.6810857!16s%2Fg%2F11fn62btyw!19sChIJjUR309_TD4gRfUknot4IG1M?authuser=0&hl=en&rclk=1,Walden,4.7,-121,Event venue,2145 W Walnut St,⋅ Closes 2 AM,https://lh5.googleusercontent.com/p/AF1QipM1Bw5pSA3O82WTge2FWo6gEgh1_ujAjfSlU_pr=w163-h92-k-no,"""The staff is exceptional, very welcoming, and",professional,"!"""
